coherences,mean_stab,nb_topic
0.5161893507821441,0.13539506107406474,11
0.5181933612309694,0.1261784851032291,12
0.5124401442063233,0.1123651800215948,13
0.5230259605524041,0.11802708610537006,14
0.5295769013343806,0.12327934721510572,15
0.5187804410952184,0.11032273754796973,16
0.5329539381575887,0.1025777361220207,17
0.5334630303444,0.10308313052596361,18
0.5286813270949721,0.09659578083278587,19
0.5278177218566255,0.0985392416893965,20
0.5259762691435235,0.0946415793577146,21
0.5141306621826877,0.0903325890828797,22
0.5109467999568736,0.07743875793495526,23
0.5122550461484675,0.07387443195492731,24
0.5062893578659694,0.07576866598776577,25
0.5036728252963871,0.0751136962007275,26
0.49435932274614786,0.0707991494148062,27
0.511176305535202,0.06981641803642291,28
